DATE,MANMM101CAM189S
2000-01-01,216688000000.0
2000-02-01,221673000000.0
2000-03-01,225082000000.0
2000-04-01,228485000000.0
2000-05-01,228101000000.0
2000-06-01,230062000000.0
2000-07-01,231897000000.0
2000-08-01,232699000000.0
2000-09-01,235280000000.0
2000-10-01,237172000000.0
2000-11-01,238162000000.0
2000-12-01,241495000000.0
2001-01-01,241236000000.0
2001-02-01,244021000000.0
2001-03-01,246074000000.0
2001-04-01,247510000000.0
2001-05-01,251786000000.0
2001-06-01,250389000000.0
2001-07-01,252626000000.0
2001-08-01,253387000000.0
2001-09-01,259557000000.00003
2001-10-01,260571000000.00003
2001-11-01,265154999999.99997
2001-12-01,269505000000.0
2002-01-01,271786999999.99997
2002-02-01,272880999999.99997
2002-03-01,274278000000.00003
2002-04-01,275020000000.0
2002-05-01,275200000000.0
2002-06-01,277003000000.0
2002-07-01,278738000000.0
2002-08-01,281298000000.0
2002-09-01,282817000000.0
2002-10-01,284626000000.0
2002-11-01,284463000000.0
2002-12-01,283074000000.0
2003-01-01,283707000000.0
2003-02-01,283112000000.0
2003-03-01,283057000000.0
2003-04-01,282288000000.0
2003-05-01,284292000000.0
2003-06-01,286165000000.0
2003-07-01,291375000000.0
2003-08-01,293614000000.0
2003-09-01,294963000000.0
2003-10-01,294154000000.0
2003-11-01,295696000000.0
2003-12-01,297280000000.0
2004-01-01,300740000000.0
2004-02-01,303689000000.0
2004-03-01,306122000000.0
2004-04-01,309306000000.0
2004-05-01,313952000000.0
2004-06-01,315344000000.0
2004-07-01,315878000000.0
2004-08-01,316026000000.0
2004-09-01,316179000000.0
2004-10-01,317248000000.0
2004-11-01,317483000000.0
2004-12-01,321653000000.0
2005-01-01,324382000000.0
2005-02-01,326783000000.0
2005-03-01,328193000000.0
2005-04-01,330593000000.0
2005-05-01,333187000000.0
2005-06-01,333710000000.0
2005-07-01,332110000000.0
2005-08-01,331882000000.0
2005-09-01,335806000000.0
2005-10-01,337808000000.0
2005-11-01,338801000000.0
2005-12-01,340190000000.0
2006-01-01,343239000000.0
2006-02-01,348088000000.0
2006-03-01,350940000000.0
2006-04-01,353340000000.0
2006-05-01,358142000000.0
2006-06-01,359272000000.0
2006-07-01,362166000000.0
2006-08-01,364164000000.0
2006-09-01,367115000000.0
2006-10-01,369905000000.0
2006-11-01,374316000000.0
2006-12-01,376251000000.0
2007-01-01,378011000000.0
2007-02-01,380869000000.0
2007-03-01,384263000000.0
2007-04-01,387519000000.0
2007-05-01,390086000000.0
2007-06-01,393690000000.0
2007-07-01,397349000000.0
2007-08-01,400030000000.0
2007-09-01,402146000000.0
2007-10-01,397987000000.0
2007-11-01,399783000000.0
2007-12-01,402643000000.0
2008-01-01,406328000000.0
2008-02-01,408334000000.0
2008-03-01,411393000000.0
2008-04-01,414350000000.0
2008-05-01,422241000000.0
2008-06-01,424607000000.0
2008-07-01,426536000000.0
2008-08-01,429610000000.0
2008-09-01,435155000000.0
2008-10-01,440703000000.0
2008-11-01,447092000000.0
2008-12-01,451954000000.0
2009-01-01,454170000000.0
2009-02-01,455009000000.0
2009-03-01,459321000000.0
2009-04-01,465497000000.0
2009-05-01,470097000000.0
2009-06-01,472537000000.0
2009-07-01,480489000000.0
2009-08-01,488209000000.0
2009-09-01,491861000000.0
2009-10-01,497395000000.0
2009-11-01,504477000000.0
2009-12-01,506972000000.0
2010-01-01,509659000000.0
2010-02-01,516825000000.00006
2010-03-01,519057000000.0
2010-04-01,523070000000.00006
2010-05-01,530994000000.0
2010-06-01,532427000000.0
2010-07-01,535744000000.0
2010-08-01,536539999999.99994
2010-09-01,540594000000.00006
2010-10-01,543676000000.00006
2010-11-01,546230000000.0
2010-12-01,550280000000.0
2011-01-01,553112000000.0
2011-02-01,556445000000.0
2011-03-01,558922000000.0
2011-04-01,559941000000.0
2011-05-01,562807000000.0
2011-06-01,567932000000.0
2011-07-01,571598000000.0
2011-08-01,574604000000.0
2011-09-01,588000000000.0
2011-10-01,593573000000.0
2011-11-01,594149000000.0
2011-12-01,596155000000.0
2012-01-01,607058000000.0
2012-02-01,608998000000.0
2012-03-01,611193000000.0
2012-04-01,618802000000.0
2012-05-01,625973000000.0
2012-06-01,632008000000.0
2012-07-01,636160000000.0
2012-08-01,637607000000.0
2012-09-01,636174000000.0
2012-10-01,636379000000.0
2012-11-01,642870000000.0
2012-12-01,645790000000.0
2013-01-01,649357000000.0
2013-02-01,662746000000.0
2013-03-01,669691000000.0
2013-04-01,672515000000.0
2013-05-01,672589000000.0
2013-06-01,676324000000.0
2013-07-01,679369000000.0
2013-08-01,684908000000.0
2013-09-01,687343000000.0
2013-10-01,691851000000.0
2013-11-01,699625000000.0
2013-12-01,705300000000.0
2014-01-01,713601000000.0
2014-02-01,714033000000.0
2014-03-01,717899000000.0
2014-04-01,717214000000.0
2014-05-01,723029000000.0
2014-06-01,725893000000.0
2014-07-01,728370000000.0
2014-08-01,735188000000.0
2014-09-01,740468000000.0
2014-10-01,747696000000.0
2014-11-01,749238000000.0
2014-12-01,753656000000.0
2015-01-01,755073000000.0
2015-02-01,762334000000.0
2015-03-01,766809000000.0
2015-04-01,771243000000.0
2015-05-01,774070000000.0
2015-06-01,781445000000.0
2015-07-01,792650000000.0
2015-08-01,800711000000.0
2015-09-01,806454000000.0
2015-10-01,809158000000.0
2015-11-01,813116000000.0
2015-12-01,815904000000.0
2016-01-01,823196000000.0
2016-02-01,829780000000.0
2016-03-01,831456000000.0
2016-04-01,834127000000.0
2016-05-01,839032000000.0
2016-06-01,844136000000.0
2016-07-01,859918000000.0
2016-08-01,867111000000.0
2016-09-01,875802000000.0
2016-10-01,883642000000.0
2016-11-01,889909000000.0
2016-12-01,895146000000.0
2017-01-01,908387000000.0
2017-02-01,906560000000.0
2017-03-01,915745000000.0
2017-04-01,928014000000.0
2017-05-01,940231000000.0
2017-06-01,944515000000.0
2017-07-01,946954000000.0
2017-08-01,945268000000.0
2017-09-01,945972000000.0
2017-10-01,951221000000.0
2017-11-01,952952000000.0
2017-12-01,961536000000.0
2018-01-01,967308000000.0
2018-02-01,972926000000.0
2018-03-01,977253000000.0
2018-04-01,976183000000.0
2018-05-01,972118000000.0
2018-06-01,976614000000.0
2018-07-01,977035000000.0
2018-08-01,981116000000.0
2018-09-01,985772000000.0
2018-10-01,989978000000.0
2018-11-01,1000058000000.0
2018-12-01,1013907000000.0
2019-01-01,1011367000000.0
2019-02-01,1012406000000.0
2019-03-01,1015832000000.0
2019-04-01,1014431000000.0
2019-05-01,1019448000000.0
2019-06-01,1021935000000.0
2019-07-01,1032385000000.0
2019-08-01,1041854000000.0
2019-09-01,1052964999999.9999
2019-10-01,1062508000000.0
2019-11-01,1073351000000.0001
2019-12-01,1091753999999.9999
2020-01-01,1095434000000.0
2020-02-01,1122014000000.0
2020-03-01,1164965000000.0
2020-04-01,1203744000000.0
2020-05-01,1237903000000.0
2020-06-01,1270147000000.0
2020-07-01,1295540000000.0
2020-08-01,1325205000000.0
2020-09-01,1350588000000.0
2020-10-01,1376690000000.0
2020-11-01,1396705000000.0
2020-12-01,1407405000000.0
2021-01-01,1425561000000.0
2021-02-01,1459324000000.0
2021-03-01,1476611000000.0
2021-04-01,1494365000000.0
2021-05-01,1518893000000.0
2021-06-01,1532282000000.0
2021-07-01,1553405000000.0
2021-08-01,1570245000000.0
2021-09-01,1575215000000.0
2021-10-01,1584076000000.0
2021-11-01,1606568000000.0
2021-12-01,1607523000000.0
2022-01-01,1623238000000.0
2022-02-01,1643523000000.0
2022-03-01,1641170000000.0
2022-04-01,1623740000000.0
2022-05-01,1620052000000.0
2022-06-01,1610199000000.0
